index,Unnamed: 0,questionID,questionTitle,questionText,questionLink,topic,therapistInfo,therapistURL,answerText,upvotes,views,split,question_word_count,answer_word_count,question_sentence_count,answer_sentence_count,question_readability,answer_readability,flagged_suicide_in_question,flagged_suicide_in_answer,question_emails_found,question_phones_found,answer_emails_found,answer_phones_found,question_entities_sample,answer_entities_sample
10,10,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Michael GreeneTherapy That Focuses on Root Causes,https://counselchat.com/therapists/michael-greene,"People who feel worthless were, in one way or another, were told that they are worthless. This is the lie that they are living with. The work of therapy is to help people see their true good selves. This gives them self esteem.",0,39,train,60,43,5,4,80.45,87.71,True,True,0,0,0,0,[],[]
11,11,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Janna KinnerFlourish Christian Counseling,https://counselchat.com/therapists/janna-kinner,"I'm sorry to hear you're feeling this intense emotion of worthlessness.  I'm glad to hear this has not reached the point of suicidal ideation; however, it does sounds like you could use some additional support right now.  I would recommend seeking out counseling to help you challenge the negative beliefs you have about yourself.  Although many types of therapy would be helpful, cognitive-behavioral therapy has been shown to be a good approach for this type of struggle.  A CBT therapist can help you identify your negative thoughts and beliefs, figure out the ways your thoughts are being distorted (for example, all-or-nothing thinking, or discounting the positives about yourself), and reframe your thoughts to be more positive.  You might also consider EMDR therapy, which helps the brain reprocess traumatic or distressing memories and helps you move forward with more positive beliefs about yourself.  Best wishes!",0,38,train,60,147,5,7,80.45,49.7,True,False,0,0,0,0,[],[]
12,12,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Anna OwensLicensed Professional Counselor,https://counselchat.com/therapists/anna-owens,"It sounds like you may be struggling with depression. Depression can make you feel overwhelmed and paralyzed to change. I would suggest that you connect with a provider who can help you get to the root of where the worthlessness is coming from and help you develop a plan for recovery. In the meantime, small steps can go a long way. Self-care interventions such as journaling your feelings, mindfulness meditation, and regular exercise are all helpful to reconnecting with the present moment and gaining internal motivation. Focusing on one day at a time and bringing your thoughts back to the present can also be beneficial. There is hope!",0,30,train,60,109,5,7,80.45,60.64,True,False,0,0,0,0,[],[]
13,13,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Jeanette Razo-GonzalezLittle Steps Giant Leaps,https://counselchat.com/therapists/jeanette-razo-gonzalez-2,"I'm glad you are interested in changing your feelings of worthlessness. Visiting your doctor is a great first step to address your lack of sleep. First, you want to make sure that you are physically healthy and that there isn't a physical condition causing your problem with sleep. Changing your feelings is something that is difficult to do, especially on your own. Make sure that you have someone you can trust and you can talk to about how you feel. This can be a friend or a family member. If you find that there isn't anyone you would feel comfortable talking to about this issue, find a therapist close to you who can help. One activity that people have found helpful in feeling better about themselves is keeping a gratitude journal. You can do this by journaling daily about the things that you are grateful for. There is no right or wrong way of doing this, as long as you focus your journal entries on the things you are grateful for in life.",0,107,train,60,173,5,10,80.45,71.42,True,False,0,0,0,0,[],[]
14,14,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Bill LeavittOffering you help in dealing with Anxiety, Stress and Depression",https://counselchat.com/therapists/bill-leavitt,"You have
several things going on here. The sleep should be addressed with a primary care
physician to rule out any physical issues. Sleep is the big reset and allows us
to function in the day. What happens during a depression is that our thoughts
race and it is as though our “brain won’t shut off.” Medication can help with
this. I also use a Pranayama yoga breathing technique called the four
fold breath which has great usefulness for relaxing us  and often does work quite well with allowing
us to sleep.. You can read about it here:    https://billleavitttherapy.com/breathing-techniques-the-four-fold-breath/Your
thoughts on feeling worthless to everyone fall under a heading of thinking
error in Cognitive Behavioral Therapy (CBT) known as overgeneralization. In CBT
thoughts lead to emotions, so we are going to pick the statement apart and then
reframe it. First list
the evidence that contradicts the thought. Has anyone in the past made positive
comments toward you? This might be hard to recall if we are in a rut, but at
some point in life we frequently have had some positives expressed towards us
by others.  “Everyone” is an absolute. The
specifics on why you are thinking this need to be addressed. How are you
arriving at this conclusion? There may be specific people that we want more
validation from. Or specific people might have made offhand hurtful comments, (such
as a family member, teacher or co-worker) but if I extrapolate that to a global
and think that everyone thinks I am worthless, that thought is not rooted in
facts.  
What are
the Pros and Cons of thinking this way? What are the Benefits and Costs? There
are very little pros or benefits to thinking this way. It’s just going to
continue to tear you down and make you feel bad. So can we reframe the thought
about the situation? Is there another way of looking at the situation? Again,
we need the specifics on how you are arriving at this conclusion, and a one on
one therapist can definitely help you with this, but the thinking that you are
using to arrive at the conclusion needs to be re-cast into a more helpful
mindset.",0,115,train,60,378,5,24,80.45,68.2,True,True,0,0,0,0,[],[]
15,15,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Amelia Mora MarsHi, I'm Amelia. I help overwhelmed, stressed out teen girls and women find peace again.",https://counselchat.com/therapists/amelia-mora-mars,"Hello, you sound like you have so much on your mind! I am relieved to hear that you have never tried or have contemplated suicide, but not being able to sleep, feeling worthless, and like you shouldn't be here are big issues that need addressing.Please get around to counseling.  Having someone to listen to you is a gift to yourself. You deserve the help of someone helping you change your feelings of worthlessness. You have not been able to do this alone. It's time to reach out for help.  You can do this! Best to you!",0,98,train,60,97,5,9,80.45,86.0,True,True,0,0,0,0,[],[]
16,16,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Marie O'Meara, LCSW",https://counselchat.com/therapists/marie-o-meara-lcsw,"It sounds like you are having some pretty severe depression. Depression can cause insomnia, and make a person focus on their own perceptions that they are ""worthless"". It is important to remember that other people may not truly perceive you as worthless. This is the depression talking.  I think that it is extremely important when you are this depressed, to sit down and write down some positives about yourself. What are your strengths? What are some positive things that your have done in your life? It concerns me that you are having suicidal thoughts. It sounds like now is the time to act on the idea of getting some help for yourself. If you feel like you might actually take your life, I would recommend that you go to a hospital emergency room, or a mental health crisis clinic right away to get some help. The most important thing right now is to keep yourself safe. If you are feeling like you are not going to hurt yourself despite your suicidal thoughts, I would recommend that you focus on finding a therapist as soon as possible. I don't know what your situation is in terms of insurance. The back of your insurance card should inform you how to obtain mental health services. There are also low cost services available with such places as Catholic Charities, and others. Your local county mental health agency should be able to refer you to some appropriate places. Good luck. Remember to identify your strengths, and the good things about yourself.  Marie",0,1380,train,60,257,5,19,80.45,70.32,True,True,0,0,0,0,[],[]
17,17,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Adriana DyurichCOUNSELING, WELLNESS, AND CONSULTING for for Moms, moms to be and their children",https://counselchat.com/therapists/adriana-dyurich,"You can, for sure... and the first step is to believe you are worthy TO YOURSELF. Recognizing you are in a quest is already a big first step. Taking the time to start figuring out who you are is definitely the next... do so with SELF COMPASSION and kindness. Know this is a process and just look forward for what you might find.  I do recommend you find someone to talk to (there are many options out there that can fit the situation you are in), and I also recommend you start by giving yourself the importance to invest some time and effort in this quest. YOU DESERVE IT. There are some excellent TED Talks you can google, great books you can read, or even joining a yoga practice, team or some kind of hobby may help. Anything that shows yourself you are worthy of this effort. Have patience and start!!!! the answer is out there waiting for you. Asking these questions already set you on the right path.",0,60,train,60,169,5,13,80.45,80.51,True,False,0,0,0,0,[],[]
18,18,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Heather BradleyHelping you heal from trauma and live meaningful lives,https://counselchat.com/therapists/heather-bradley,"Oftentimes we can change our feelings about ourselves by building a better relationship with ourself.  It sounds like there is a very critical aspect of your self that is alive and taking over.  Sometimes when we are stuck it is because a part of ourselves, a way that perhaps we learned to cope with difficult situations earlier in our lives, has decided to run the show.  Like a highly critical part that may actually be desperately attempting to protect us from a past hurt. Slowing down and even forming a relationship with this critical internal part will help you get some space from it.  When we can begin to observe parts of ourselves, be curious about them, get to know them like a new friend, then we have room for other ways of being.  Beginning therapy could be a great way to change this feeling of worthlessness.  Beginning to build a better relationship and understanding of yourself will deeply influence the relationships around you.  This first step may feel hard, to reach out to someone, and it could be the beginning step to a path of radically shifting your relationship with yourself and others in your life.",0,83,train,60,197,5,9,80.45,57.07,True,False,0,0,0,0,[],[]
19,19,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Grace BrooksCaring, Kind and Experienced",https://counselchat.com/therapists/grace-brooks-2,"Feelings of worthlessness often originate  from what you learned about yourself when you were young. Improving your self esteem needs focus on that original message from parents, teachers or siblings that may be suppressed.  Most of us need help to uncover the ""lie"" because you were born valuable!",0,146,train,60,48,5,3,80.45,56.65,True,False,0,0,0,0,[],[]
20,20,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Debbie Gottlieb,https://counselchat.com/therapists/debbie-gottlieb,The feeling of being worthless is caused by your inside being not matching your outside result. Your comparison to others and you thinking you need to be someone other than who you are. You are not worthless. No one is worthless. You need to find your worth and not let yourself talk yourself out of the good you find in yourself. I hope these words resonate with you and that you start looking for your worth even if it’s as simple as I am able to get out of bed and call someone and make a joke.,0,87,train,60,98,5,6,80.45,83.21,True,True,0,0,0,0,[],[]
21,21,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,Minal NebhnaniDiscover Your Best Self!,https://counselchat.com/therapists/minal-nebhnani,"Hi there, I'm sorry you're feeling this way. Let me see if I can guide you in the right direction. Often when I talk to my clients about feelings of worthlessness we start with a little bit of self-exploration. We start with noticing. Start to notice when these feelings come up for you. Is there a particular time
of day, a specific person who brings it out, a phrase you hear? Just
start to notice. Usually it's tied to something but it may take a while to figure out what that something/someone is. Try to be patient.Next we start to explore. When did these feelings start? Where do you think they come from? Is there something - a statement - perhaps that repeats in your head over and over again? If so, whose voice is it? These are difficult questions, and just a few of them, so take your time answering them. (We usually do it over a few sessions.) It might even be helpful to write them down somewhere. If you have a journal that would be a great place as research has shown that our brain works differently when we put pen to paper versus typing on a computer. Now comes the good news. Our brains are able to rewire themselves. This allows us to change habits we don't want as well as statements we say to ourselves that are no longer serving us. The next step is to select an ally. Someone who is or has been in your corner, someone who is always rooting for you. If you don't have someone like that, that's ok - a lot of us don't - you can just make someone up. Close your eyes and try to describe that person in great detail from the way they look to the way they act to the way they sound. Now, pick a phrase you would like that person to say to you whenever you start to think that you're worthless. Something that will help you feel better about yourself - a characteristic, a skill, a great joke you tell, a physical attribute. This also takes time and may involve you asking for help from someone who knows you.Once you have all of that together - the noticing, answers from where these feelings and statement(s) come from, your ally, your new statement, you can try to put it altogether. When the feelings come up, notice what is bringing them up and then call upon your ally to try to change the statement in your head from the self-defeating one to the more positive, uplifting one. I hope this was helpful. Again, I do this with my clients over quite a few weeks, if not months, and I am there with them the whole time. It is quite an involved process and can bring up a lot of very difficult feeling/memories. If at any point you find it too hard to go at alone, please seek help. If you take anything away from this reply, know that there is help out there and that it is possible to change the way you feel.",0,105,train,60,522,5,35,80.45,81.0,True,True,0,0,0,0,[],[]
22,22,0,Can I change my feeling of being worthless to everyone?,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",https://counselchat.com/questions/can-i-change-my-feeling-of-being-worthless-to-everyone,depression,"Carmy Howard, LMHC, DCCChange is possible one session at a time",https://counselchat.com/therapists/carmy-howard-lmhc-dcc,"I am sorry you are feeling this way.  We all have narratives that we say to ourselves whether it is valid or not.  In your case it would be beneficial to explore when and how this belief began and rewrite your story.  There are different ways to explore and rewrite.  This process requires commitment, self-reflection and courage.",0,127,train,60,58,5,5,80.45,68.16,True,False,0,0,0,0,[],[]
117,117,13,How can I best fight the winter blues?,Every winter I find myself getting sad because of the weather. How can I fight this?,https://counselchat.com/questions/how-can-i-best-fight-the-winter-blues,depression,Meg McKeon,https://counselchat.com/therapists/meg-mckeon-2,"Cold climate is often accompanied by grey skies, snow and
ice. The elements along with wind, windchill and severely cold temperatures may
lead to feelings of sadness, anxiety, and low energy. For some people these
symptoms occur each year from late fall to early spring and may be suffering
from a condition known as Seasonal Affective Disorder (SAD). Whether you have
been diagnosed with SAD or are finding yourself struggling with the “winter
blues” for the first time here are some suggestions for feeling better and
staying healthy.1. Nutrition Most likely you have
heard the term “comfort food.” These foods and snacks are high in
carbohydrates, sugar and fat. Avoid overeating cookies, cakes and candy. Chose
vegetables, fruit and protein for snacks and plan balanced meals. If you find
yourself wanting to eat or snack throughout the day, ask yourself why you are
eating. Are you hungry? Or Are you eating because you are bored?2. AlcoholKeep in mind that alcohol is a depressant so consuming wine,
beer or liquor when already feeling sad, anxious or depressed will only add to
your symptoms. Do not consume alcohol while engaging in outdoor activities such
as snow removal, skiing, or ice fishing. If you find yourself reaching for an
additional glass of wine or beer be mindful and ask whether you are doing it
due to boredom. Instead of mindlessly taking another glass of alcohol, drink a
glass of water. 3. SunlightGet
out in the sunlight or brightly lit spaces, especially early in the day.4. Be activeIf you are unable to go to your favorite gym, exercise class
or go for a run, find a way to stay active in your home. There are a lot of
short, instructional programs available on YouTube that you can follow to do
some gently yoga, dance, or do strengthening exercises using only your body
weight.5.  Reach out for help
Confide in someone you trust about how you are feeling. Do
not hesitate to contact a counselor if you feel that you are becoming more
depressed and anxious. If you experience thoughts of suicide call the National
Suicide Prevention Lifeline at 1-800-273-8255.",0,27,train,16,362,2,26,77.1,66.04,False,True,0,0,0,1,[],[]
133,133,17,Is wishing I wasn't born a sign of something deeper?,"I'm not suicidal and wouldn't take my own life, but sometimes, I've wished for an accident to occur and take it. I feel like I just shouldn't be here and wish I wouldn't have been born so I didn't have to go through life. For me, it's a chore, but I don't know if that's normal or a sign of something.",https://counselchat.com/questions/is-wishing-i-wasn-t-born-a-sign-of-something-deeper,depression,"Sherry Katz, LCSWCouples and Family Therapist, LCSW",https://counselchat.com/therapists/sherry-katz-lcsw,"Sounds like a sign of great unhappiness, or sadness, or insecurity.The real way you'll find out what this feeling is about is to ask yourself your own question.  Inside you are the only one who will feel when you discover the true answer to your question.Everyone feels some amount of discontent in their lives once in a while. Its normal to not feel entirely happy all the time.Try to accept your unhappiness as motivation to learn more about who you are, what you like, whom you like.Study yourself bc this way you increase the chance to find a road which feels right and happy.",0,24,test,61,108,3,7,84.95,74.46,True,False,0,0,0,0,[],[]
